Rule ID,RTL Name,RTL Hierarchy,Message Body,File Name
ASSIGN-10# 29,shift_matrix[10][4],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][4]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 30,shift_matrix[10][5],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][5]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 31,shift_matrix[10][6],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][6]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 32,shift_matrix[10][7],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][7]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 33,shift_matrix[10][8],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][8]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 34,shift_matrix[10][9],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[10][9]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 35,shift_matrix[11][0],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][0]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 36,shift_matrix[11][10],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][10]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 37,shift_matrix[11][11],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][11]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 38,shift_matrix[11][12],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][12]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 39,shift_matrix[11][13],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][13]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 40,shift_matrix[11][14],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][14]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 41,shift_matrix[11][15],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][15]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 42,shift_matrix[11][1],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][1]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 43,shift_matrix[11][2],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][2]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 44,shift_matrix[11][3],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][3]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 45,shift_matrix[11][4],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][4]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 46,shift_matrix[11][5],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][5]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 47,shift_matrix[11][6],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][6]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 48,shift_matrix[11][7],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][7]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 49,shift_matrix[11][8],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][8]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 50,shift_matrix[11][9],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[11][9]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 51,shift_matrix[12][0],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][0]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 52,shift_matrix[12][10],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][10]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 53,shift_matrix[12][11],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][11]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 54,shift_matrix[12][12],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][12]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 55,shift_matrix[12][13],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][13]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 56,shift_matrix[12][14],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][14]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 57,shift_matrix[12][15],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][15]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 58,shift_matrix[12][1],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][1]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 59,shift_matrix[12][2],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[12][2]', first unread bit '0'",axis_matmux_core.sv : 24
